name,party,electorate,state,start_date,end_date
Bert van Manen,Liberal National Federal,Forde,QLD,2010-08-21,""
Andrew Wallace,Liberal National Federal,Fisher,QLD,2016-07-02,""
Tim Watts,Labor Federal,Gellibrand,VIC,2013-09-07,""
Lucy Wicks,Liberal Federal,Robertson,NSW,2013-09-07,2022-05-22
Andrew Wilkie,Independent Federal,Denison,TAS,2010-08-21,""
Josh Wilson,Labor Federal,Fremantle,WA,2016-07-02,""
Rick Wilson,Liberal Federal,O'Connor,WA,2013-09-07,""
Tim Wilson,Liberal Federal,Goldstein,VIC,2016-07-02,2022-05-22
Jason Wood,Liberal Federal,La Trobe,VIC,2004-10-09,""
Ken Wyatt,Liberal Federal,Hasluck,WA,2010-08-21,2022-05-22
Tony Zappia,Labor Federal,Makin,SA,2007-11-24,""
Trent Zimmerman,Liberal Federal,North Sydney,NSW,2015-01-01,2022-05-22
