Event,Name,Donation Made To,Date,Value
2025 Federal Election,Regional Voices Fund Pty Ltd,"ROLFE, Jenny Lee",29/01/2025,20000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",29/01/2025,30000
2025 Federal Election,Regional Voices Fund Pty Ltd,"CHAPMAN, Susan Margaret",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HAINES, Helen Mary",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOOK, Kathleen Louise",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"KUSS, Anita",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"LEONARD, Deborah Louise",11/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",11/04/2025,15000
2025 Federal Election,Regional Voices Fund Pty Ltd,"CHAPMAN, Susan Margaret",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"FERRES MILES, Claire Jennifer",17/04/2025,5000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HAINES, Helen Mary",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOLT, Suzanne Jan",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"HOOK, Kathleen Louise",17/04/2025,5000
2025 Federal Election,Regional Voices Fund Pty Ltd,"MILLER, Jeremy John",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"SMITH, Benjamin John",17/04/2025,10000
2025 Federal Election,Regional Voices Fund Pty Ltd,"KUSS, Anita",24/04/2025,5000
2025 Federal Election,"Saunders, Katharine","STEGGALL, Zali",17/11/2024,10000
2025 Federal Election,"Saunders, Katharine","STEGGALL, Zali",14/02/2025,10000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",18/11/2024,10000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",21/03/2025,12000
2025 Federal Election,"Simpson, Andrew","RYAN, Monique Marie",26/04/2025,1500
2025 Federal Election,"Skrzynski, Joseph","SPENDER, Allegra May",4/12/2024,25000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",14/11/2024,20000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",15/11/2024,20000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",16/11/2024,10000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",24/03/2025,3000
2025 Federal Election,"Snape, Brian","RYAN, Monique Marie",9/04/2025,5000
2025 Federal Election,"Spiller, Greg","LEONARD, Deborah Louise",15/11/2024,25000
2025 Federal Election,"Stephen Moir, Carolyn Loton and","HEISE, Carolyn Gai",7/12/2024,20000
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",30/01/2025,950
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",4/02/2025,20000
2025 Federal Election,"Stewart, Andrew David","JONES, Keryn Louise",27/02/2025,9900
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,5926
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,456
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,1678
2025 Federal Election,The Good Party,"PARKER, Elsa Rose Binti",5/05/2025,17937
2025 Federal Election,"Turnbull, Alexander","SPENDER, Allegra May",27/02/2025,25000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",2/04/2025,10000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",9/04/2025,10000
2025 Federal Election,"Tyler, Hilary","KENNY, Quinton",25/04/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",18/02/2025,10200
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",18/02/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",19/02/2025,10140
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",21/02/2025,10140
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",26/02/2025,2535
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",28/02/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",10/03/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",11/03/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",13/03/2025,1173
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",13/03/2025,1114
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",13/03/2025,1314
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",13/03/2025,1113
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",13/03/2025,3000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",13/03/2025,60
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",25/03/2025,7500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",25/03/2025,7500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",26/03/2025,9899
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",26/03/2025,3786
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SMITH, Eleanor",31/03/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",2/04/2025,18500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",2/04/2025,18500
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",3/04/2025,14000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",3/04/2025,14000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",4/04/2025,22886
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",4/04/2025,22887
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",4/04/2025,4226
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"RYAN, Monique Marie",5/04/2025,20000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",7/04/2025,12000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",10/04/2025,7151
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",10/04/2025,13774
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",10/04/2025,4401
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",14/04/2025,12950
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",14/04/2025,2152
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"LEONARD, Deborah Louise",14/04/2025,2151
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SMITH, Eleanor",14/04/2025,8000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"JONES, Keryn Louise",15/04/2025,18000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"BOELE, Nicolette",16/04/2025,6152
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHANEY, Katherine Ella",16/04/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",16/04/2025,3000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",24/04/2025,10000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HAINES, Helen Mary",24/04/2025,2000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"CHAPMAN, Susan Margaret",30/04/2025,1011
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"DANIEL, Zoe",30/04/2025,5000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",30/04/2025,1000
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"MURRAY-BARTLETT, Erchana",30/04/2025,3700
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"SCAMPS, Sophie Anna",30/04/2025,4265
2025 Federal Election,VIDA IMPACT FUND PTY LTD,"HEISE, Carolyn Gai",2/05/2025,506
2025 Federal Election,Voices of Bean Incorporated,"PRICE, Jessie Ann",17/12/2024,18659
2025 Federal Election,"Ward-Ambler, Ian","DANIEL, Zoe",12/03/2025,20000
2025 Federal Election,"Whittingham, Mathew","BROWN, Tina",10/04/2025,50000
2025 Federal Election,"Whittingham, Mathew","BROWN, Tina",26/04/2025,20000
2025 Federal Election,William Taylor Nominees Pty Ltd,"SPENDER, Allegra May",19/08/2024,200000
2025 Federal Election,"Woollard, Frederick","BOELE, Nicolette",3/12/2024,50000
2025 Federal Election,"Woollard, Frederick","BOELE, Nicolette",28/03/2025,25000
2025 Federal Election,Wycombe Services Pty Ltd,"CHANEY, Katherine Ella",5/03/2025,50000
