name	date published	abn	client of
Alcoa of Australia Limited	19 April 2023	93 004 879 298	GRA Partners Pty Ltd | 56 131 702 755
ALDI Stores	8 August 2011		GRACosway Pty Ltd | 50 082 123 822
Aldridge ITS Pty Ltd	26 June 2024	68 163 711 153	Northstar Public Affairs Pty Ltd | 25 638 744 046
ALFA (NT) LIMITED	8 December 2023	81 166 922 569	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Alinta Servco Pty Ltd	4 November 2022	46 126 537 362	Cornerstone Group Australia Pty Ltd | 99 153 936 719
Alliance for Animals	27 February 2024	68 654 428 690	Essential Media Communications | 48 074 671 462
Alliance for Journalists' Freedom	2 September 2019	59 622 234 799	Wilkinson Butler Pty Ltd | 95 164 204 111
Alliance20	2 August 2023	45 000 062 288	Essential Media Communications | 48 074 671 462
Alpha HPA	1 November 2023	79 106 879 690	Rainmaker Strategic Planning Pty Ltd | 39 632 234 916
Alumina Limited	6 September 2023	85 004 820 419	SEC Newgate Pty Limited | 38 162 366 056
AMAYDA	18 May 2023	45 629 524 769	Bullyproof Australia Ltd | 94 782 533 018
Amazon	2 February 2018		Hawker Britton Group Pty Ltd | 79 109 681 405
Amazon	4 October 2022	30 616 935 623	SEC Newgate Pty Limited | 38 162 366 056
Amazon	1 February 2024	30 616 935 623	Advisory Street | 28 613 329 472
Amazon Australia	14 October 2024		TG Public Affairs Pty Ltd | 23 630 677 673
Amazon AWS Web Services Australia Pty Ltd	15 February 2023	63 605 345 891	Sports Hydrant Pty Ltd | 91 133 062 012
Amazon Commercial Services Pty Ltd	4 November 2022	30 616 935 623	Eloquium Group Pty Ltd | 45 631 309 923
Amazon Web Services	7 August 2024		Spring Street Advisory Pty Ltd | 92 603 411 650
Amazon Web Services Limited	27 April 2023		TG Public Affairs Pty Ltd | 23 630 677 673
American Express Australia Limited	27 July 2018		SEC Newgate Pty Limited | 38 162 366 056
Amgen Australia	15 January 2019	31 051 057 428	OGILVY HEALTH PTY LTD | 62 114 807 877
